"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Castro, Willi","650489","2021","0.624",".275","-0.019","-0.007","-0.015"
"Díaz, Yandy","650490","2021","0.740",".286",".002","-0.012","-0.007"
"Chapman, Matt","656305","2021","0.717",".272",".001","-0.020","-0.010"
"Hoskins, Rhys","656555","2021","0.864",".270","-0.002","-0.034","-0.014"
"Mullins II, Cedric","656775","2021","0.878",".322",".019",".071",".028"
"Schwarber, Kyle","656941","2021","0.928",".306",".001","-0.011","-0.007"
"Smith, Pavin","656976","2021","0.732",".319",".009",".002",".001"
"Verdugo, Alex","657077","2021","0.777",".327",".004","-0.020","-0.008"
"DeJong, Paul","657557","2021","0.674",".216","-0.014","-0.026","-0.019"
"Laureano, Ramón","657656","2021","0.760",".304",".001","-0.016","-0.008"
"Moncada, Yoán","660162","2021","0.787",".350",".002","-0.014","-0.006"
"Ohtani, Shohei","660271","2021","0.964",".303","-0.009","-0.020","-0.015"
"Acuña Jr., Ronald","660670","2021","0.990",".311","-0.012","-0.007","-0.017"
"Varsho, Daulton","662139","2021","0.755",".286","-0.002",".007","-0.001"
"Riley, Austin","663586","2021","0.898",".368",".022",".020",".013"
"Larnach, Trevor","663616","2021","0.672",".338",".011","-0.026","-0.006"
"Mountcastle, Ryan","663624","2021","0.796",".297",".010",".030",".009"
"Hayes, Ke'Bryan","663647","2021","0.689",".321",".015",".011",".007"
"Tucker, Kyle","663656","2021","0.916",".304","-0.009","-0.019","-0.013"
"India, Jonathan","663697","2021","0.835",".326",".015",".023",".011"
"Grisham, Trent","663757","2021","0.740",".292",".001",".045",".011"
"Stephenson, Tyler","663886","2021","0.797",".333",".029",".040",".022"
"Rodgers, Brendan","663898","2021","0.798",".328",".031",".056",".030"
"Lowe, Nathaniel","663993","2021","0.772",".339",".028",".014",".014"
"Happ, Ian","664023","2021","0.757",".281",".006",".038",".011"
"France, Ty","664034","2021","0.813",".327",".021",".010",".007"
"Lowe, Brandon","664040","2021","0.863",".280","-0.002",".024",".003"
"Bader, Harrison","664056","2021","0.784",".306",".040",".072",".041"
"Fletcher, David","664058","2021","0.621",".287","-0.010",".004","-0.007"
"Moore, Dylan","664238","2021","0.610",".229","-0.023","-0.014","-0.017"
"Straw, Myles","664702","2021","0.697",".336",".015",".015",".008"
"Bohm, Alec","664761","2021","0.647",".327","-0.014","-0.050","-0.028"
"Wade Jr., LaMonte","664774","2021","0.808",".289",".000",".010","-0.001"
"Brown, Seth","664913","2021","0.754",".230","-0.011",".018","-0.003"
"Walsh, Jared","665120","2021","0.849",".335",".021",".075",".031"
"Tatis Jr., Fernando","665487","2021","0.975",".324",".003","-0.004","-0.004"
"Guerrero Jr., Vladimir","665489","2021","1.002",".313",".000",".004","-0.002"
"Soto, Juan","665742","2021","0.999",".332",".008","-0.011","-0.009"
"Chisholm Jr., Jazz","665862","2021","0.728",".319",".010",".016",".005"
"Lux, Gavin","666158","2021","0.692",".300","-0.018","-0.023","-0.020"
"Bichette, Bo","666182","2021","0.827",".339",".007","-0.006","-0.001"
"Carlson, Dylan","666185","2021","0.780",".332",".019",".030",".014"
"Dalbec, Bobby","666915","2021","0.792",".316",".004","-0.028","-0.010"
"García, Adolis","666969","2021","0.740",".306",".023",".032",".015"
"Gurriel Jr., Lourdes","666971","2021","0.785",".305",".004",".004","-0.006"
"Arozarena, Randy","668227","2021","0.815",".363",".052",".090",".046"
"Baddoo, Akil","668731","2021","0.766",".335",".032",".033",".020"
"Reynolds, Bryan","668804","2021","0.912",".345",".008","-0.001","-0.001"
"Rojas, Josh","668942","2021","0.752",".345",".032",".059",".032"
"Murphy, Sean","669221","2021","0.711",".257","-0.024","-0.036","-0.028"
"Edman, Tommy","669242","2021","0.695",".291","-0.012","-0.014","-0.015"
"Solak, Nick","669256","2021","0.676",".292",".004",".001",".000"
"Smith, Will","669257","2021","0.860",".274",".008",".023",".000"
"Hays, Austin","669720","2021","0.769",".286",".011",".029",".012"
"Lopez, Nicky","670032","2021","0.743",".347",".061",".073",".046"
"Alvarez, Yordan","670541","2021","0.877",".320",".002","-0.034","-0.017"
"Kelenic, Jarred","672284","2021","0.615",".216","-0.042","-0.063","-0.044"
"McCormick, Chas","676801","2021","0.766",".341",".033",".023",".016"
"Franco, Wander","677551","2021","0.810",".311",".012",".056",".019"
"Vaughn, Andrew","683734","2021","0.705",".271","-0.008","-0.038","-0.026"
"Pujols, Albert","405395","2022","0.895",".252",".008",".051",".015"
"Cabrera, Miguel","408234","2022","0.622",".324",".020","-0.014",".000"
"Cruz Jr., Nelson","443558","2022","0.650",".295","-0.007","-0.062","-0.028"
"Peralta, David","444482","2022","0.731",".307",".002",".016",".002"
"Blackmon, Charlie","453568","2022","0.733",".304",".008",".043",".016"
"Maldonado, Martín","455117","2022","0.600",".228",".005",".027",".011"
"Solano, Donovan","456781","2022","0.724",".349",".016","-0.008",".004"
"McCutchen, Andrew","457705","2022","0.700",".278","-0.015","-0.022","-0.016"
"Turner, Justin","457759","2022","0.788",".313",".011",".011",".004"
"Votto, Joey","458015","2022","0.689",".257","-0.013","-0.020","-0.012"
"Andrus, Elvis","462101","2022","0.707",".272",".004",".044",".017"
"Santana, Carlos","467793","2022","0.692",".209","-0.051","-0.062","-0.044"
"Gurriel Jr., Yuli","493329","2022","0.648",".266",".002",".041",".014"
"Rojas, Miguel","500743","2022","0.606",".258","-0.028","-0.024","-0.025"
"Escobar, Eduardo","500871","2022","0.725",".281","-0.003",".003","-0.003"
"Pham, Tommy","502054","2022","0.686",".304","-0.002","-0.009","-0.007"
"Martinez, J.D.","502110","2022","0.789",".345",".014","-0.023","-0.006"
"Goldschmidt, Paul","502671","2022","0.982",".368",".056",".096",".052"
"Altuve, Jose","514888","2022","0.920",".315",".031",".093",".043"
"Hernández, César","514917","2022","0.629",".309",".000","-0.011","-0.007"
"Segura, Jean","516416","2022","0.723",".307",".023",".024",".017"
"Marte, Starling","516782","2022","0.815",".340",".016",".040",".019"
"d'Arnaud, Travis","518595","2022","0.791",".306",".021",".060",".030"
"Donaldson, Josh","518626","2022","0.682",".283",".007",".004",".003"
"Freeman, Freddie","518692","2022","0.918",".359",".012","-0.027","-0.010"
"Grandal, Yasmani","518735","2022","0.570",".249","-0.015","-0.050","-0.027"
"LeMahieu, DJ","518934","2022","0.734",".285","-0.013","-0.026","-0.015"
"Rizzo, Anthony","519203","2022","0.818",".216","-0.015",".026",".003"
"Stanton, Giancarlo","519317","2022","0.759",".227","-0.029","-0.012","-0.023"
"Perez, Salvador","521692","2022","0.757",".285",".012","-0.005",".001"
"Flores, Wilmer","527038","2022","0.710",".246","-0.004",".024",".002"
"García, Avisaíl","541645","2022","0.583",".298","-0.006","-0.049","-0.023"
"Bethancourt, Christian","542194","2022","0.692",".304","-0.003","-0.040","-0.017"
"Ozuna, Marcell","542303","2022","0.687",".252","-0.027","-0.062","-0.036"
"Ortega, Rafael","542364","2022","0.689",".285",".000",".012","-0.002"
"Aguilar, Jesús","542583","2022","0.660",".278","-0.005","-0.014","-0.010"
"Berti, Jon","542932","2022","0.662",".308",".004","-0.020","-0.008"
"Crawford, Brandon","543063","2022","0.652",".280",".014",".005",".002"
"Cron, C.J.","543068","2022","0.783",".307",".014",".033",".015"
"Grossman, Robbie","543257","2022","0.621",".283",".004",".006",".002"
"Harrison, Josh","543281","2022","0.687",".297",".023",".035",".021"
"Hicks, Aaron","543305","2022","0.643",".279","-0.002","-0.023","-0.011"
"Hosmer, Eric","543333","2022","0.716",".304",".010",".003",".002"
"Nola, Austin","543592","2022","0.650",".284","-0.005","-0.022","-0.015"
"Semien, Marcus","543760","2022","0.733",".263",".005",".035",".011"
"Springer III, George","543807","2022","0.814",".285",".002",".035",".010"
"Vázquez, Christian","543877","2022","0.714",".310",".012",".024",".011"
"Wong, Kolten","543939","2022","0.769",".280",".016",".077",".031"
"Garcia, Leury","544725","2022","0.500",".255","-0.023","-0.058","-0.037"
"Grichuk, Randal","545341","2022","0.724",".309",".030",".055",".034"
"Stassi, Max","545358","2022","0.570",".239",".000","-0.022","-0.008"
"Trout, Mike","545361","2022","0.999",".323",".018",".047",".023"
"Harper, Bryce","547180","2022","0.878",".324","-0.002","-0.013","-0.011"
"Abreu, José","547989","2022","0.824",".350",".008","-0.040","-0.012"
"Díaz, Elias","553869","2022","0.649",".270",".006",".029",".010"
"Suárez, Eugenio","553993","2022","0.791",".302",".016",".005",".005"
"Urshela, Gio","570482","2022","0.767",".326",".017",".013",".009"
"Schoop, Jonathan","570731","2022","0.561",".234","-0.026","-0.016","-0.023"
"Arenado, Nolan","571448","2022","0.891",".290",".027",".088",".042"
"Barnhart, Tucker","571466","2022","0.554",".296",".020",".003",".009"
"Farmer, Kyle","571657","2022","0.701",".286","-0.003",".006","-0.002"
"Hernández, Enrique","571771","2022","0.629",".257","-0.016","-0.019","-0.017"
"Muncy, Max","571970","2022","0.713",".227","-0.012","-0.033","-0.021"
"Naquin, Tyler","571980","2022","0.705",".291","-0.018","-0.010","-0.014"
"Pollock, AJ","572041","2022","0.681",".278","-0.013","-0.030","-0.020"
"Taylor, Michael A.","572191","2022","0.670",".321",".031","-0.001",".008"
"Voit III, Luke","572228","2022","0.710",".298",".004","-0.032","-0.011"
"Walker, Christian","572233","2022","0.804",".248","-0.015","-0.007","-0.013"
"Ruf, Darin","573131","2022","0.645",".258","-0.015","-0.033","-0.019"
"Yastrzemski, Mike","573262","2022","0.697",".261","-0.006",".000","-0.007"
"Contreras, Willson","575929","2022","0.815",".270","-0.013",".003","-0.007"
"Iglesias, Jose","578428","2022","0.708",".326",".026",".057",".031"
"Canha, Mark","592192","2022","0.770",".309",".021",".041",".020"
"Castellanos, Nick","592206","2022","0.694",".326",".013","-0.006",".002"
"Drury, Brandon","592273","2022","0.812",".293",".021",".072",".034"
"Gamel, Ben","592325","2022","0.693",".291","-0.012","-0.003","-0.008"
"Judge, Aaron","592450","2022","1.111",".340",".006","-0.020","-0.005"
"Machado, Manny","592518","2022","0.897",".337",".034",".084",".044"
"Pederson, Joc","592626","2022","0.874",".310",".008",".019",".006"
"Realmuto, J.T.","592663","2022","0.820",".318",".001",".015",".003"
"Renfroe, Hunter","592669","2022","0.807",".281",".015",".054",".024"
"Yelich, Christian","592885","2022","0.738",".327","-0.006","-0.019","-0.010"
"Merrifield, Whit","593160","2022","0.673",".276",".010",".019",".006"
"Bogaerts, Xander","593428","2022","0.833",".362",".048",".073",".040"
"Polanco, Jorge","593871","2022","0.751",".269","-0.013","-0.046","-0.025"
"Calhoun, Kole","594777","2022","0.587",".263","-0.027","-0.052","-0.034"
"Duvall, Adam","594807","2022","0.677",".278",".004",".006",".002"
"Profar, Jurickson","595777","2022","0.722",".272","-0.008",".032",".005"
"Báez, Javier","595879","2022","0.671",".292",".012",".019",".010"
"Hedges, Austin","595978","2022","0.489",".193","-0.017","-0.013","-0.013"
"Lindor, Francisco","596019","2022","0.788",".301",".016",".022",".011"
"Odor, Rougned","596059","2022","0.632",".244",".000",".018",".001"
"Slater, Austin","596103","2022","0.774",".361",".005","-0.021","-0.007"
"Story, Trevor","596115","2022","0.737",".309",".017",".037",".015"
"Vogelbach, Daniel","596129","2022","0.793",".290",".002",".005","-0.001"
"Sánchez, Gary","596142","2022","0.659",".257","-0.015","-0.062","-0.031"
"Kepler, Max","596146","2022","0.666",".249","-0.039","-0.064","-0.040"
"Franco, Maikel","596748","2022","0.597",".262","-0.014","-0.009","-0.011"
"Choi, Ji Man","596847","2022","0.729",".320","-0.003","-0.025","-0.015"
"Bradley Jr., Jackie","598265","2022","0.566",".251","-0.020","-0.019","-0.016"
"Candelario, Jeimer","600869","2022","0.633",".257","-0.011","-0.018","-0.015"
"Daza, Yonathan","602074","2022","0.733",".347",".019",".033",".015"
"Urías, Ramón","602104","2022","0.719",".287","-0.002","-0.006","-0.007"
"Anderson, Brian","605119","2022","0.657",".291","-0.007","-0.033","-0.016"
"Bell, Josh","605137","2022","0.784",".296","-0.007","-0.002","-0.005"
"Betts, Mookie","605141","2022","0.873",".272",".015",".068",".029"
"Caratini, Victor","605170","2022","0.642",".228","-0.034","-0.008","-0.020"
"Davis, J.D.","605204","2022","0.758",".360",".006","-0.051","-0.018"
"Castro, Harold","605612","2022","0.681",".318","-0.004","-0.042","-0.019"
"Tapia, Raimel","606132","2022","0.672",".315",".009",".014",".007"
"Hernández, Teoscar","606192","2022","0.807",".335",".002","-0.010","-0.003"
"Marte, Ketel","606466","2022","0.728",".276","-0.011",".030",".002"
"Haase, Eric","606992","2022","0.748",".316",".015",".044",".020"
"Nimmo, Brandon","607043","2022","0.800",".317",".018",".030",".015"
"Peterson, Jace","607054","2022","0.698",".303",".005",".020",".006"
"Turner, Trea","607208","2022","0.809",".342",".022",".034",".015"
"Stallings, Jacob","607732","2022","0.584",".280",".002","-0.020","-0.009"
"Ramírez, José","608070","2022","0.869",".279",".025",".106",".043"
"Bregman, Alex","608324","2022","0.820",".260",".002",".038",".008"
