player_id,"last_name, first_name",on_base_plus_slg (2021),on_base_plus_slg (2022),on_base_plus_slg (2023),on_base_plus_slg (2024),babip (2021),babip (2022),babip (2023),babip (2024),xbadiff (2021),xbadiff (2022),xbadiff (2023),xbadiff (2024),xslgdiff (2021),xslgdiff (2022),xslgdiff (2023),xslgdiff (2024),wobadiff (2021),wobadiff (2022),wobadiff (2023),wobadiff (2024),ops_change 2021-2022,ops_change 2022-2023,ops_change 2023-2024
575929,"Contreras, Willson",0.778,0.815,0.825,0.848,0.298,0.27,0.311,0.337,-0.003,-0.013,-0.015,0.004,-0.01,0.003,-0.023,0.013,-0.009,-0.007,-0.015,0.005,4.755784061696655,1.2269938650306678,2.7878787878787836
592192,"Canha, Mark",0.745,0.77,0.755,0.69,0.274,0.309,0.293,0.298,0.0,0.021,0.014,0.03,0.009,0.041,0.019,0.04,0.001,0.02,0.01,0.022,3.3557046979865834,-1.9480519480519543,-8.609271523178819
592206,"Castellanos, Nick",0.938,0.694,0.787,0.742,0.34,0.326,0.337,0.294,0.016,0.013,0.014,-0.017,0.041,-0.006,0.033,-0.01,0.017,0.002,0.015,-0.012,-26.01279317697228,13.400576368876083,-5.717916137229995
592450,"Judge, Aaron",0.917,1.111,1.019,1.159,0.332,0.34,0.3,0.367,-0.021,0.006,-0.022,0.012,-0.05,-0.02,-0.099,-0.022,-0.031,-0.005,-0.041,-0.003,21.155943293347867,-8.28082808280829,13.73895976447499
592518,"Machado, Manny",0.836,0.897,0.781,0.797,0.29,0.337,0.268,0.302,-0.013,0.034,0.004,0.003,-0.037,0.084,0.004,0.011,-0.026,0.044,0.002,0.002,7.296650717703357,-12.931995540691188,2.0486555697823317
592626,"Pederson, Joc",0.732,0.874,0.764,0.908,0.281,0.31,0.268,0.322,-0.006,0.008,-0.029,0.011,-0.019,0.019,-0.065,0.035,-0.018,0.006,-0.035,0.013,19.398907103825145,-12.585812356979408,18.848167539267013
592663,"Realmuto, J.T.",0.782,0.82,0.762,0.751,0.325,0.318,0.307,0.328,0.01,0.001,-0.002,-0.002,0.023,0.015,-0.01,-0.03,0.007,0.003,-0.01,-0.013,4.859335038363155,-7.073170731707313,-1.4435695538057791
592669,"Renfroe, Hunter",0.816,0.807,0.713,0.689,0.284,0.281,0.27,0.254,-0.001,0.015,0.008,0.006,-0.005,0.054,0.05,0.03,-0.01,0.024,0.019,0.011,-1.1029411764705732,-11.648079306071878,-3.3660589060308554
592885,"Yelich, Christian",0.735,0.738,0.817,0.91,0.321,0.327,0.342,0.366,-0.006,-0.006,-0.006,0.021,-0.019,-0.019,-0.013,0.033,-0.012,-0.01,-0.009,0.018,0.40816326530612734,10.704607046070457,11.383108935128528
593160,"Merrifield, Whit",0.712,0.673,0.7,0.625,0.309,0.276,0.313,0.257,0.014,0.01,0.03,-0.02,0.012,0.019,0.047,-0.003,0.005,0.006,0.028,-0.012,-5.477528089887629,4.011887072808307,-10.71428571428571
593428,"Bogaerts, Xander",0.863,0.833,0.79,0.688,0.333,0.362,0.319,0.297,0.015,0.048,0.03,0.002,0.025,0.073,0.039,-0.001,0.009,0.04,0.025,-0.005,-3.4762456546929332,-5.1620648259303685,-12.911392405063305
593871,"Polanco, Jorge",0.826,0.751,0.789,0.653,0.282,0.269,0.31,0.275,0.002,-0.013,0.005,-0.012,0.015,-0.046,-0.027,-0.043,0.001,-0.025,-0.008,-0.021,-9.079903147699753,5.059920106524629,-17.237008871989858
594807,"Duvall, Adam",0.772,0.677,0.834,0.568,0.26,0.278,0.299,0.227,0.001,0.004,0.037,-0.015,-0.008,0.006,0.095,-0.064,-0.006,0.002,0.043,-0.031,-12.305699481865284,23.190546528803523,-31.894484412470025
595777,"Profar, Jurickson",0.649,0.722,0.689,0.839,0.266,0.272,0.279,0.302,-0.011,-0.008,-0.005,-0.002,-0.003,0.032,0.019,0.015,-0.009,0.005,-0.002,0.001,11.248073959938365,-4.570637119113574,21.770682148040656
596019,"Lindor, Francisco",0.734,0.788,0.806,0.844,0.248,0.301,0.277,0.295,-0.024,0.016,-0.001,-0.01,-0.038,0.022,0.013,-0.028,-0.027,0.011,0.0,-0.016,7.3569482288828425,2.2842639593908753,4.714640198511155
596146,"Kepler, Max",0.719,0.666,0.816,0.682,0.225,0.249,0.288,0.3,-0.044,-0.039,-0.011,0.006,-0.039,-0.064,-0.019,-0.001,-0.038,-0.04,-0.014,-0.003,-7.371349095966606,22.522522522522515,-16.421568627450966
600869,"Candelario, Jeimer",0.794,0.633,0.807,0.708,0.333,0.257,0.292,0.257,-0.007,-0.011,0.015,0.004,-0.019,-0.018,0.064,0.065,-0.012,-0.015,0.028,0.024,-20.27707808564232,27.48815165876779,-12.267657992565063
605137,"Bell, Josh",0.823,0.784,0.744,0.724,0.276,0.296,0.287,0.286,-0.016,-0.007,-0.016,0.01,-0.012,-0.002,-0.038,0.009,-0.015,-0.005,-0.022,0.007,-4.7387606318347375,-5.102040816326536,-2.6881720430107503
605141,"Betts, Mookie",0.854,0.873,0.987,0.863,0.276,0.272,0.316,0.294,0.001,0.015,0.013,0.007,0.042,0.068,0.016,0.044,0.008,0.029,0.009,0.015,2.2248243559718883,13.058419243986252,-12.56332320162108
606192,"Hernández, Teoscar",0.87,0.807,0.74,0.84,0.352,0.335,0.342,0.344,0.012,0.002,0.0,0.022,-0.013,-0.01,-0.041,0.015,-0.001,-0.003,-0.019,0.014,-7.24137931034482,-8.302354399008681,13.513513513513509
606466,"Marte, Ketel",0.909,0.728,0.843,0.932,0.352,0.276,0.3,0.299,0.011,-0.011,0.01,-0.002,0.037,0.03,0.058,0.022,0.013,0.002,0.019,-0.001,-19.911991199119917,15.796703296703285,10.55753262158956
607043,"Nimmo, Brandon",0.838,0.8,0.829,0.726,0.366,0.317,0.324,0.267,0.025,0.018,0.013,-0.02,0.051,0.03,0.013,-0.009,0.024,0.015,0.007,-0.014,-4.534606205250591,3.6249999999999893,-12.42460796139927
607208,"Turner, Trea",0.911,0.809,0.779,0.807,0.362,0.342,0.31,0.331,0.024,0.022,0.0,0.031,0.051,0.034,0.012,0.05,0.022,0.015,0.003,0.031,-11.196487376509323,-3.7082818294190356,3.594351732991008
608070,"Ramírez, José",0.893,0.869,0.831,0.872,0.256,0.279,0.285,0.265,-0.017,0.025,-0.017,0.02,0.03,0.106,-0.005,0.084,-0.004,0.043,-0.013,0.035,-2.6875699888017968,-4.372842347525896,4.933814681107096
608324,"Bregman, Alex",0.777,0.82,0.804,0.768,0.286,0.26,0.27,0.264,0.012,0.002,-0.004,0.003,0.005,0.038,0.011,0.036,0.004,0.008,0.0,0.012,5.534105534105516,-1.9512195121951126,-4.477611940298509
608369,"Seager, Corey",0.915,0.772,1.013,0.865,0.336,0.242,0.34,0.291,0.011,-0.038,0.013,-0.011,-0.009,-0.055,0.011,-0.049,-0.003,-0.041,0.007,-0.025,-15.62841530054645,31.21761658031086,-14.61006910167818
621020,"Swanson, Dansby",0.76,0.776,0.744,0.702,0.297,0.348,0.297,0.3,-0.003,0.02,-0.011,-0.002,-0.006,-0.014,-0.042,-0.026,-0.01,0.0,-0.02,-0.014,2.1052631578947434,-4.123711340206193,-5.645161290322587
621043,"Correa, Carlos",0.851,0.833,0.711,0.905,0.308,0.339,0.272,0.343,-0.017,0.015,-0.023,0.032,0.003,-0.017,-0.022,0.062,-0.009,-0.001,-0.021,0.027,-2.1151586368977737,-14.645858343337338,27.285513361462744
621566,"Olson, Matt",0.911,0.802,0.993,0.79,0.269,0.274,0.302,0.293,0.007,-0.008,0.019,0.0,0.033,0.01,0.046,0.009,0.001,-0.003,0.021,-0.002,-11.964873765093298,23.815461346633416,-20.44310171198388
622534,"Margot, Manuel",0.695,0.7,0.686,0.626,0.281,0.332,0.306,0.273,-0.014,0.01,0.002,-0.023,-0.015,0.018,0.008,-0.042,-0.017,0.009,-0.002,-0.032,0.7194244604316502,-1.9999999999999907,-8.746355685131203
