"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Olson, Matt","ATL","2023","adj_xhr","24.4",11,30,25,"46.3","54",48,"6.0"
"Schwarber, Kyle","PHI","2023","adj_xhr","25.7",10,25,25,"48.1","52",44.8,"7.2"
"García, Adolis","TEX","2023","adj_xhr","26.5",14,37,14,"29.8","47",42.6,"4.4"
"Alonso, Pete","NYM","2023","adj_xhr","23.4",11,26,21,"45.7","46",41.5,"4.5"
"Ohtani, Shohei","LAA","2023","adj_xhr","24",9,20,24,"54.5","44",41,"3.0"
"Acuña Jr., Ronald","ATL","2023","adj_xhr","26.4",12,25,19,"46.3","41",38.7,"2.3"
"Ozuna, Marcell","ATL","2023","adj_xhr","28.6",7,24,20,"50","40",37.1,"2.9"
"Riley, Austin","ATL","2023","adj_xhr","22.4",11,24,19,"48.7","39",38.1,"0.9"
"Seager, Corey","TEX","2023","adj_xhr","21.7",12,25,15,"38.5","39",36.7,"2.3"
"Betts, Mookie","LAD","2023","adj_xhr","22",19,28,10,"25.6","39",32.5,"6.5"
"Robert Jr., Luis","CWS","2023","adj_xhr","24.8",9,25,16,"42.1","38",36,"2.0"
"Judge, Aaron","NYY","2023","adj_xhr","24.1",11,21,19,"51.4","37",36.2,"0.8"
"Alvarez, Yordan","HOU","2023","adj_xhr","26.7",14,27,16,"43.2","37",36.9,"0.1"
"Soler, Jorge","MIA","2023","adj_xhr","27.7",8,22,16,"44.4","36",33.4,"2.6"
"Muncy, Max","LAD","2023","adj_xhr","24.4",6,24,16,"44.4","36",35.2,"0.8"
"Soto, Juan","SD","2023","adj_xhr","26.9",14,18,16,"45.7","35",31.3,"3.7"
"Walker, Christian","AZ","2023","adj_xhr","25.5",11,28,11,"32.4","34",28.6,"5.4"
"Martinez, J.D.","LAD","2023","adj_xhr","23",5,36,5,"14.7","34",32.8,"1.2"
"Burger, Jake","MIA","2023","adj_xhr","22.6",3,24,16,"47.1","34",32.7,"1.3"
"Castellanos, Nick","PHI","2023","adj_xhr","23.1",10,23,10,"29.4","34",28,"6.0"
"Devers, Rafael","BOS","2023","adj_xhr","26.2",12,21,20,"60.6","33",35.4,"-2.4"
"Albies, Ozzie","ATL","2023","adj_xhr","25",12,28,10,"30.3","33",29.4,"3.6"
"Rodríguez, Julio","SEA","2023","adj_xhr","22.5",6,28,11,"34.4","32",29.3,"2.7"
"Paredes, Isaac","TB","2023","adj_xhr","26.8",7,23,6,"19.4","31",23.8,"7.2"
"Semien, Marcus","TEX","2023","adj_xhr","22.5",14,27,10,"32.3","31",31.6,"-0.6"
"Lindor, Francisco","NYM","2023","adj_xhr","24",12,20,12,"38.7","31",27.7,"3.3"
"Torkelson, Spencer","DET","2023","adj_xhr","23.7",13,23,16,"51.6","31",34,"-3.0"
"Rooker, Brent","OAK","2023","adj_xhr","24.8",7,19,15,"50","30",29.6,"0.4"
"Machado, Manny","SD","2023","adj_xhr","26.8",7,22,11,"36.7","30",27.4,"2.6"
"Raleigh, Cal","SEA","2023","adj_xhr","22.5",12,19,11,"36.7","30",25.3,"4.7"
"Witt Jr., Bobby","KC","2023","adj_xhr","21.1",14,17,15,"50","30",28.9,"1.1"
"Tucker, Kyle","HOU","2023","adj_xhr","24.7",10,16,18,"62.1","29",30.2,"-1.2"
"Henderson, Gunnar","BAL","2023","adj_xhr","23.6",10,19,12,"41.4","29",27.6,"1.4"
"Santander, Anthony","BAL","2023","adj_xhr","27.3",5,22,16,"55.2","29",33.3,"-4.3"
"Bregman, Alex","HOU","2023","adj_xhr","23.4",13,27,5,"17.2","29",23.4,"5.6"
"Freeman, Freddie","LAD","2023","adj_xhr","21.9",14,21,12,"41.4","29",27,"2.0"
"Turner, Trea","PHI","2023","adj_xhr","22.6",9,18,11,"37.9","29",26.3,"2.7"
"Thomas, Lane","WSH","2023","adj_xhr","22.7",9,16,14,"50","28",26,"2.0"
"Marte, Ketel","AZ","2023","adj_xhr","23.4",8,20,9,"33.3","27",24.9,"2.1"
"Gurriel Jr., Lourdes","AZ","2023","adj_xhr","23.9",11,21,9,"33.3","27",24.2,"2.8"
"Carroll, Corbin","AZ","2023","adj_xhr","21.6",6,15,12,"44.4","27",23.3,"3.7"
"Gorman, Nolan","STL","2023","adj_xhr","22.8",6,18,11,"40.7","27",25.7,"1.3"
"Hernández, Teoscar","SEA","2023","adj_xhr","23.3",10,27,9,"34.6","26",26.9,"-0.9"
"Morel, Christopher","CHC","2023","adj_xhr","25.1",4,14,13,"50","26",24.4,"1.6"
"Bellinger, Cody","CHC","2023","adj_xhr","24.1",7,16,11,"42.3","26",22.9,"3.1"
"Arenado, Nolan","STL","2023","adj_xhr","20.1",13,16,10,"38.5","26",21.9,"4.1"
"Guerrero Jr., Vladimir","TOR","2023","adj_xhr","27.5",10,18,13,"50","26",26.1,"-0.1"
"Suwinski, Jack","PIT","2023","adj_xhr","21.4",5,12,17,"65.4","26",25.1,"0.9"
"Jung, Josh","TEX","2023","adj_xhr","21.4",8,21,7,"26.9","26",22.7,"3.3"
"Drury, Brandon","LAA","2023","adj_xhr","23.6",7,22,6,"23.1","26",23,"3.0"
