"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Harper, Bryce","PHI","2023","adj_xhr","25.2",7,23,7,"26.9","26",23.9,"2.1"
"Goldschmidt, Paul","STL","2023","adj_xhr","22.8",13,19,11,"44","25",25,"0.0"
"Tatis Jr., Fernando","SD","2023","adj_xhr","24.9",9,17,8,"32","25",21,"4.0"
"Torres, Gleyber","NYY","2023","adj_xhr","24.2",9,19,9,"36","25",24.7,"0.3"
"Alvarez, Francisco","NYM","2023","adj_xhr","24.6",5,11,13,"52","25",20.4,"4.6"
"Siri, Jose","TB","2023","adj_xhr","26.4",3,15,11,"44","25",22.3,"2.7"
"Kepler, Max","MIN","2023","adj_xhr","20.7",8,21,10,"41.7","24",26.1,"-2.1"
"Reynolds, Bryan","PIT","2023","adj_xhr","23.5",11,14,12,"50","24",23.6,"0.4"
"Ramírez, José","CLE","2023","adj_xhr","24.7",10,19,15,"62.5","24",28.7,"-4.7"
"Casas, Triston","BOS","2023","adj_xhr","25.6",7,19,11,"45.8","24",25.1,"-1.1"
"Adames, Willy","MIL","2023","adj_xhr","23.9",9,20,5,"20.8","24",19.9,"4.1"
"Stanton, Giancarlo","NYY","2023","adj_xhr","23.4",2,12,16,"66.7","24",25.3,"-1.3"
"Nimmo, Brandon","NYM","2023","adj_xhr","19",14,16,14,"58.3","24",26.5,"-2.5"
"McCormick, Chas","HOU","2023","adj_xhr","23.9",9,21,5,"21.7","23",20.5,"2.5"
"Turner, Justin","BOS","2023","adj_xhr","26.1",8,24,6,"26.1","23",23.5,"-0.5"
"Arozarena, Randy","TB","2023","adj_xhr","29.3",9,20,9,"39.1","23",23.8,"-0.8"
"McMahon, Ryan","COL","2023","adj_xhr","22.1",6,19,8,"34.8","23",21.1,"1.9"
"Realmuto, J.T.","PHI","2023","adj_xhr","22.7",6,19,8,"34.8","23",23.4,"-0.4"
"Diaz, Yainer","HOU","2023","adj_xhr","22.7",3,19,9,"39.1","23",23.8,"-0.8"
"Flores, Wilmer","SF","2023","adj_xhr","24.2",9,18,8,"34.8","23",22.1,"0.9"
"Perez, Salvador","KC","2023","adj_xhr","27.9",3,21,11,"47.8","23",25.9,"-2.9"
"Wisdom, Patrick","CHC","2023","adj_xhr","21",2,16,9,"39.1","23",21,"2.0"
"Santana, Carlos","MIL","2023","adj_xhr","23.4",9,19,7,"30.4","23",21.4,"1.6"
"Outman, James","LAD","2023","adj_xhr","21",5,18,11,"47.8","23",21.8,"1.2"
"Steer, Spencer","CIN","2023","adj_xhr","22.5",9,14,9,"39.1","23",18.6,"4.4"
"Díaz, Yandy","TB","2023","adj_xhr","27.9",5,21,6,"27.3","22",20.3,"1.7"
"Abreu, José","HOU","2023","adj_xhr","23.8",6,19,11,"50","22",24.5,"-2.5"
"Bell, Josh","MIA","2023","adj_xhr","23.8",14,14,11,"50","22",23,"-1.0"
"Langeliers, Shea","OAK","2023","adj_xhr","23.1",4,18,12,"54.5","22",24.6,"-2.6"
"Candelario, Jeimer","CHC","2023","adj_xhr","25.2",5,17,9,"40.9","22",20.7,"1.3"
"Suárez, Eugenio","SEA","2023","adj_xhr","26.6",11,20,10,"45.5","22",22.3,"-0.3"
"Garver, Mitch","TEX","2023","adj_xhr","25.4",5,16,9,"40.9","22",20.9,"1.1"
"Swanson, Dansby","CHC","2023","adj_xhr","23.5",11,17,7,"31.8","22",17.9,"4.1"
"Duvall, Adam","BOS","2023","adj_xhr","22.6",4,14,13,"61.9","21",24.3,"-3.3"
"Bohm, Alec","PHI","2023","adj_xhr","22.8",7,11,9,"42.9","21",17.1,"3.9"
"Rosario, Eddie","ATL","2023","adj_xhr","23",7,15,6,"28.6","21",17,"4.0"
"Taylor, Michael A.","MIN","2023","adj_xhr","22",5,11,9,"42.9","21",16.9,"4.1"
"Springer, George","TOR","2023","adj_xhr","21.5",7,21,3,"14.3","21",17.7,"3.3"
"Gallo, Joey","MIN","2023","adj_xhr","23.1",5,5,16,"76.2","21",20.9,"0.1"
"Vaughn, Andrew","CWS","2023","adj_xhr","22.9",10,17,6,"28.6","21",18.3,"2.7"
"Altuve, Jose","HOU","2023","adj_xhr","25.1",10,19,5,"23.8","21",20.9,"0.1"
"Rogers, Jake","DET","2023","adj_xhr","23.7",10,14,8,"38.1","21",19,"2.0"
"Murphy, Sean","ATL","2023","adj_xhr","23.8",4,13,11,"52.4","21",20,"1.0"
"Happ, Ian","CHC","2023","adj_xhr","21.9",11,18,3,"14.3","21",19,"2.0"
"Volpe, Anthony","NYY","2023","adj_xhr","21.3",6,25,5,"23.8","21",21.8,"-0.8"
"Heim, Jonah","TEX","2023","adj_xhr","23.9",10,14,8,"38.1","21",20.7,"0.3"
"Lowe, Brandon","TB","2023","adj_xhr","24.6",4,16,9,"42.9","21",21.6,"-0.6"
"Varsho, Daulton","TOR","2023","adj_xhr","21.2",4,14,10,"50","20",21.3,"-1.3"
"Carpenter, Kerry","DET","2023","adj_xhr","22.8",8,18,5,"25","20",19.2,"0.8"
"Bichette, Bo","TOR","2023","adj_xhr","24.5",7,15,6,"30","20",17.6,"2.4"
"Lowe, Josh","TB","2023","adj_xhr","24.9",4,19,6,"30","20",19.1,"0.9"
"Suzuki, Seiya","CHC","2023","adj_xhr","21.8",5,16,8,"40","20",20.6,"-0.6"
"Contreras, Willson","STL","2023","adj_xhr","25.8",6,19,6,"30","20",21.7,"-1.7"
"Rutschman, Adley","BAL","2023","adj_xhr","22.2",10,15,9,"45","20",19.8,"0.2"
"Renfroe, Hunter","CIN","2023","adj_xhr","24.2",8,15,5,"25","20",16.3,"3.7"
"Lowe, Nathaniel","TEX","2023","adj_xhr","20.9",10,16,6,"30","20",18,"2.0"
"Jones, Nolan","COL","2023","adj_xhr","21.8",5,15,11,"55","20",21.8,"-1.8"
"Crawford, J.P.","SEA","2023","adj_xhr","22.9",3,15,5,"26.3","19",15.5,"3.5"
"Yelich, Christian","MIL","2023","adj_xhr","20.9",8,17,6,"31.6","19",17.7,"1.3"
"Chisholm Jr., Jazz","MIA","2023","adj_xhr","25.9",2,11,8,"42.1","19",17.3,"1.7"
"De La Cruz, Bryan","MIA","2023","adj_xhr","28.3",5,15,6,"31.6","19",18.3,"0.7"
"Raley, Luke","TB","2023","adj_xhr","20.9",5,16,8,"42.1","19",20.4,"-1.4"
"Belt, Brandon","TOR","2023","adj_xhr","23.1",2,13,7,"36.8","19",17.4,"1.6"
"Smith, Will","LAD","2023","adj_xhr","22.7",8,18,6,"31.6","19",19,"0.0"
"Bogaerts, Xander","SD","2023","adj_xhr","27.6",8,15,7,"36.8","19",16.6,"2.4"
"Lewis, Royce","MIN","2023","adj_xhr","23.4",5,11,6,"31.6","19",15.7,"3.3"
"Sánchez, Gary","SD","2023","adj_xhr","25",7,11,9,"47.4","19",18,"1.0"
"Pham, Tommy","AZ","2023","adj_xhr","23.9",8,13,9,"47.4","19",17.8,"1.2"
"Davis, J.D.","SF","2023","adj_xhr","22.4",7,9,9,"50","18",15.2,"2.8"
"Correa, Carlos","MIN","2023","adj_xhr","27.1",8,11,9,"50","18",17.1,"0.9"
"Jiménez, Eloy","CWS","2023","adj_xhr","25.3",4,9,10,"55.6","18",16.9,"1.1"
"Harris II, Michael","ATL","2023","adj_xhr","23.9",7,10,10,"55.6","18",17.2,"0.8"
"Friedl, TJ","CIN","2023","adj_xhr","22",4,9,4,"22.2","18",11.9,"6.1"
"Abrams, CJ","WSH","2023","adj_xhr","23.8",7,16,5,"27.8","18",17.9,"0.1"
"Mountcastle, Ryan","BAL","2023","adj_xhr","24.3",9,12,9,"50","18",18.5,"-0.5"
"Trout, Mike","LAA","2023","adj_xhr","24.6",6,7,10,"55.6","18",15.7,"2.3"
"Ruiz, Keibert","WSH","2023","adj_xhr","25.5",3,14,6,"33.3","18",15.8,"2.2"
"Velázquez, Nelson","KC","2023","adj_xhr","26.3",2,8,10,"58.8","17",17.2,"-0.2"
"Kim, Ha-Seong","SD","2023","adj_xhr","20.8",6,14,4,"23.5","17",13.6,"3.4"
"Julien, Edouard","MIN","2023","adj_xhr","23.2",4,15,7,"41.2","17",16.3,"0.7"
"Buxton, Byron","MIN","2023","adj_xhr","22.7",5,10,9,"52.9","17",17.2,"-0.2"
"Cooper, Garrett","SD","2023","adj_xhr","20.8",3,15,6,"35.3","17",16.8,"0.2"
"Contreras, William","MIL","2023","adj_xhr","26.3",8,16,5,"29.4","17",15.9,"1.1"
"Jansen, Danny","TOR","2023","adj_xhr","23.1",4,11,6,"35.3","17",15.6,"1.4"
"Chapman, Matt","TOR","2023","adj_xhr","22.5",9,24,5,"29.4","17",19.7,"-2.7"
"Wade Jr., LaMonte","SF","2023","adj_xhr","22.6",5,14,8,"47.1","17",17,"0.0"
"India, Jonathan","CIN","2023","adj_xhr","23",4,15,4,"23.5","17",14.5,"2.5"
"Franco, Wander","TB","2023","adj_xhr","23.9",11,10,7,"41.2","17",14.3,"2.7"
"Naylor, Josh","CLE","2023","adj_xhr","26.4",12,12,6,"35.3","17",15.5,"1.5"
"Arcia, Orlando","ATL","2023","adj_xhr","24.5",8,13,6,"35.3","17",15.9,"1.1"
"Hays, Austin","BAL","2023","adj_xhr","23.1",12,17,6,"37.5","16",18.4,"-2.4"
"Rengifo, Luis","LAA","2023","adj_xhr","19.4",5,12,5,"31.3","16",14.2,"1.8"
"Walker, Jordan","STL","2023","adj_xhr","22.2",8,12,7,"43.8","16",15.9,"0.1"
"Noda, Ryan","OAK","2023","adj_xhr","23.6",5,11,7,"43.8","16",17,"-1.0"
"Melendez, MJ","KC","2023","adj_xhr","22.8",12,17,8,"50","16",20.2,"-4.2"
"Ford, Mike","SEA","2023","adj_xhr","25.2",1,12,6,"37.5","16",15.2,"0.8"
"McLain, Matt","CIN","2023","adj_xhr","21.2",6,12,3,"18.8","16",13.1,"2.9"
"Grichuk, Randal","LAA","2023","adj_xhr","22.6",6,12,6,"37.5","16",15.4,"0.6"
"Stott, Bryson","PHI","2023","adj_xhr","22.9",6,9,5,"31.3","16",12.7,"3.3"
"Tovar, Ezequiel","COL","2023","adj_xhr","20.9",8,9,6,"40","15",13.3,"1.7"
"Giménez, Andrés","CLE","2023","adj_xhr","22.5",5,11,7,"46.7","15",16.1,"-1.1"
"Fraley, Jake","CIN","2023","adj_xhr","22.1",6,8,3,"20","15",9.9,"5.1"
"Polanco, Jorge","MIN","2023","adj_xhr","24.6",8,8,7,"46.7","15",13.4,"1.6"
"Maldonado, Martín","HOU","2023","adj_xhr","24.1",6,12,6,"40","15",14.2,"0.8"
"LeMahieu, DJ","NYY","2023","adj_xhr","23",9,13,1,"6.7","15",11.1,"3.9"
"Conforto, Michael","SF","2023","adj_xhr","22.3",4,13,4,"26.7","15",14.2,"0.8"
"Yastrzemski, Mike","SF","2023","adj_xhr","23.6",6,12,5,"33.3","15",15.2,"-0.2"
"Pederson, Joc","SF","2023","adj_xhr","26.2",3,16,5,"33.3","15",17.1,"-2.1"
"Yoshida, Masataka","BOS","2023","adj_xhr","22",10,16,3,"20","15",14.2,"0.8"
"Taveras, Leody","TEX","2023","adj_xhr","22.2",12,12,5,"33.3","15",14.6,"0.4"
"Hayes, Ke'Bryan","PIT","2023","adj_xhr","23",12,10,7,"46.7","15",14.2,"0.8"
"Massey, Michael","KC","2023","adj_xhr","22.9",5,6,10,"66.7","15",15.2,"-0.2"
"Mullins, Cedric","BAL","2023","adj_xhr","24.6",2,15,4,"26.7","15",14.8,"0.2"
"Taylor, Chris","LAD","2023","adj_xhr","22.4",5,10,8,"53.3","15",14.2,"0.8"
"Heyward, Jason","LAD","2023","adj_xhr","22.5",3,12,5,"33.3","15",13.2,"1.8"
"Díaz, Elias","COL","2023","adj_xhr","25.7",8,7,8,"57.1","14",12.6,"1.4"
"Votto, Joey","CIN","2023","adj_xhr","23.1",2,7,8,"57.1","14",13.1,"0.9"
"O'Hoppe, Logan","LAA","2023","adj_xhr","22.5",2,13,4,"28.6","14",13.9,"0.1"
"Moniak, Mickey","LAA","2023","adj_xhr","22.4",4,11,5,"35.7","14",13.3,"0.7"
"DeJong, Paul","SF","2023","adj_xhr","22.7",8,9,5,"35.7","14",12.7,"1.3"
"Ward, Taylor","LAA","2023","adj_xhr","23.2",5,12,3,"21.4","14",14.1,"-0.1"
"Jeffers, Ryan","MIN","2023","adj_xhr","23.7",6,9,6,"42.9","14",13.9,"0.1"
"Brown, Seth","OAK","2023","adj_xhr","22.4",12,12,5,"35.7","14",14.6,"-0.6"
"Estrada, Thairo","SF","2023","adj_xhr","24.2",6,10,7,"50","14",15.1,"-1.1"
"Sánchez, Jesús","MIA","2023","adj_xhr","27.5",2,12,7,"50","14",15.1,"-1.1"
"O'Hearn, Ryan","BAL","2023","adj_xhr","23.2",7,14,5,"35.7","14",14,"0.0"
"Nootbaar, Lars","STL","2023","adj_xhr","19.5",5,11,6,"42.9","14",13.9,"0.1"
"Wallner, Matt","MIN","2023","adj_xhr","22.8",4,6,9,"64.3","14",14.1,"-0.1"
"Gelof, Zack","OAK","2023","adj_xhr","22.7",3,11,4,"28.6","14",11.9,"2.1"
"Duran, Ezequiel","TEX","2023","adj_xhr","23.7",9,9,6,"42.9","14",13.5,"0.5"
"Sabol, Blake","SF","2023","adj_xhr","22.6",5,7,5,"38.5","13",10.2,"2.8"
"Frazier, Adam","BAL","2023","adj_xhr","22",3,6,5,"38.5","13",9.7,"3.3"
"Donaldson, Josh","MIL","2023","adj_xhr","23.1",0,5,9,"69.2","13",13.3,"-0.3"
"Edman, Tommy","STL","2023","adj_xhr","22.1",2,9,7,"53.8","13",13.2,"-0.2"
"Vogelbach, Daniel","NYM","2023","adj_xhr","29.1",2,12,4,"30.8","13",12.5,"0.5"
"Grisham, Trent","SD","2023","adj_xhr","21",3,11,4,"30.8","13",11.9,"1.1"
"De La Cruz, Elly","CIN","2023","adj_xhr","27.7",5,6,8,"61.5","13",12.4,"0.6"
"Senzel, Nick","CIN","2023","adj_xhr","22.3",2,10,3,"23.1","13",11.2,"1.8"
"Thomas, Alek","AZ","2023","adj_xhr","22.3",4,10,4,"30.8","13",10.9,"2.1"
"Stephenson, Tyler","CIN","2023","adj_xhr","22.5",5,14,2,"15.4","13",11.9,"1.1"
"Encarnacion-Strand, Christian","CIN","2023","adj_xhr","24.5",3,7,5,"38.5","13",11.3,"1.7"
"Verdugo, Alex","BOS","2023","adj_xhr","27.8",7,7,5,"38.5","13",10.8,"2.2"
"Meneses, Joey","WSH","2023","adj_xhr","24.5",6,15,3,"23.1","13",15.4,"-2.4"
"Wiemer, Joey","MIL","2023","adj_xhr","20.9",6,10,5,"38.5","13",12.7,"0.3"
"Marsh, Brandon","PHI","2023","adj_xhr","21.2",6,12,3,"23.1","13",11.5,"1.5"
"Tellez, Rowdy","MIL","2023","adj_xhr","27.4",1,8,4,"30.8","13",9.7,"3.3"
"France, Ty","SEA","2023","adj_xhr","26.1",10,5,8,"66.7","12",11.5,"0.5"
"Cron, C.J.","LAA","2023","adj_xhr","23.4",3,9,3,"25","12",10.4,"1.6"
"Bauers, Jake","NYY","2023","adj_xhr","24.3",7,13,4,"33.3","12",13.5,"-1.5"
"d'Arnaud, Travis","ATL","2023","adj_xhr","23.2",3,8,6,"50","12",11.1,"0.9"
"McCutchen, Andrew","PIT","2023","adj_xhr","23.6",5,13,2,"16.7","12",11,"1.0"
"Smith, Dominic","WSH","2023","adj_xhr","26.3",5,15,2,"16.7","12",12.6,"-0.6"
"Farmer, Kyle","MIN","2023","adj_xhr","24.2",8,9,6,"50","12",12.7,"-0.7"
"Olivares, Edward","KC","2023","adj_xhr","23.5",2,17,6,"50","12",17.1,"-5.1"
"Moustakas, Mike","LAA","2023","adj_xhr","23",5,7,8,"66.7","12",13.9,"-1.9"
"Ramírez, Harold","TB","2023","adj_xhr","22.4",5,10,3,"25","12",9.3,"2.7"
"Rizzo, Anthony","NYY","2023","adj_xhr","25.6",6,12,1,"8.3","12",9.3,"2.7"
"Montero, Elehuris","COL","2023","adj_xhr","23.2",3,11,1,"9.1","11",8.4,"2.6"
"Taylor, Tyrone","MIL","2023","adj_xhr","21.2",6,9,4,"36.4","11",11.8,"-0.8"
"Kelenic, Jarred","SEA","2023","adj_xhr","21",4,11,4,"36.4","11",10.9,"0.1"
"Kirilloff, Alex","MIN","2023","adj_xhr","20.9",4,13,0,"0","11",10.3,"0.7"
"Joe, Connor","PIT","2023","adj_xhr","23.3",5,8,7,"63.6","11",12.9,"-1.9"
"Benson, Will","CIN","2023","adj_xhr","22.6",3,9,2,"18.2","11",9.2,"1.8"
"Moncada, Yoán","CWS","2023","adj_xhr","24",8,6,5,"45.5","11",9.2,"1.8"
"Merrifield, Whit","TOR","2023","adj_xhr","23.4",6,10,1,"9.1","11",8.8,"2.2"
"Donovan, Brendan","STL","2023","adj_xhr","21.2",3,7,6,"54.5","11",11.5,"-0.5"
"Moreno, Gabriel","AZ","2023","adj_xhr","24.4",0,10,3,"27.3","11",10,"1.0"
"Bethancourt, Christian","TB","2023","adj_xhr","24.9",5,8,2,"18.2","11",8.7,"2.3"
"Stewart, DJ","NYM","2023","adj_xhr","24.2",1,10,3,"27.3","11",11.8,"-0.8"
"Naylor, Bo","CLE","2023","adj_xhr","22.9",3,6,6,"54.5","11",10.9,"0.1"
"Baddoo, Akil","DET","2023","adj_xhr","23.4",7,9,2,"18.2","11",10.4,"0.6"
"Ibáñez, Andy","DET","2023","adj_xhr","20.4",4,7,7,"63.6","11",11.9,"-0.9"
"Greene, Riley","DET","2023","adj_xhr","22.2",6,8,6,"54.5","11",11.9,"-0.9"
"Hernández, Enrique","LAD","2023","adj_xhr","22.3",5,9,5,"45.5","11",12.3,"-1.3"
"Canha, Mark","MIL","2023","adj_xhr","22.7",5,7,3,"27.3","11",8.2,"2.8"
"Longoria, Evan","AZ","2023","adj_xhr","23.8",2,2,10,"90.9","11",11.5,"-0.5"
"Bleday, JJ","OAK","2023","adj_xhr","22.1",4,8,4,"40","10",10.4,"-0.4"
"Arias, Gabriel","CLE","2023","adj_xhr","24.5",3,8,5,"50","10",12,"-2.0"
"McNeil, Jeff","NYM","2023","adj_xhr","21.7",4,10,2,"20","10",10.8,"-0.8"
"Vierling, Matt","DET","2023","adj_xhr","23",4,9,6,"60","10",12.3,"-2.3"
"Meyers, Jake","HOU","2023","adj_xhr","22.6",1,8,4,"40","10",9.5,"0.5"
"Higashioka, Kyle","NYY","2023","adj_xhr","23",6,10,3,"30","10",10.5,"-0.5"
"Peña, Jeremy","HOU","2023","adj_xhr","22.9",6,10,1,"10","10",9.2,"0.8"
"Sheets, Gavin","CWS","2023","adj_xhr","21.8",4,10,2,"20","10",9.6,"0.4"
"Grossman, Robbie","TEX","2023","adj_xhr","20.8",8,9,1,"10","10",9.2,"0.8"
"Arraez, Luis","MIA","2023","adj_xhr","23.6",9,6,2,"20","10",7.8,"2.2"
"Diaz, Jordan","OAK","2023","adj_xhr","23.3",3,10,2,"20","10",10.1,"-0.1"
"Doyle, Brenton","COL","2023","adj_xhr","21.5",5,11,4,"40","10",11.4,"-1.4"
"Gomes, Yan","CHC","2023","adj_xhr","22.5",3,11,1,"10","10",7.9,"2.1"
"Sosa, Edmundo","PHI","2023","adj_xhr","23.2",4,8,3,"30","10",9.2,"0.8"
"Dubón, Mauricio","HOU","2023","adj_xhr","24.2",1,10,3,"30","10",9.5,"0.5"
"Palacios, Joshua","PIT","2023","adj_xhr","25.7",4,6,4,"40","10",8.9,"1.1"
"Bryant, Kris","COL","2023","adj_xhr","22.1",6,7,4,"40","10",10.3,"-0.3"
"Knizner, Andrew","STL","2023","adj_xhr","21.8",1,11,6,"60","10",12.7,"-2.7"
"Cronenworth, Jake","SD","2023","adj_xhr","21.1",5,8,3,"30","10",8.8,"1.2"
"Thaiss, Matt","LAA","2023","adj_xhr","23.3",5,3,5,"55.6","9",8.4,"0.6"
"Neto, Zach","LAA","2023","adj_xhr","25.2",2,7,4,"44.4","9",8.1,"0.9"
"Castro, Willi","MIN","2023","adj_xhr","20.7",4,8,3,"33.3","9",9.2,"-0.2"
"O'Neill, Tyler","STL","2023","adj_xhr","19.1",2,10,2,"22.2","9",9.6,"-0.6"
"Hicks, Aaron","BAL","2023","adj_xhr","24.3",3,6,5,"55.6","9",9.5,"-0.5"
"Báez, Javier","DET","2023","adj_xhr","25.3",2,8,3,"33.3","9",9.2,"-0.2"
"Vientos, Mark","NYM","2023","adj_xhr","25.1",1,8,3,"33.3","9",8.9,"0.1"
"Anderson, Brian","MIL","2023","adj_xhr","21.5",3,9,1,"11.1","9",7.4,"1.6"
"Garrett, Stone","WSH","2023","adj_xhr","22.1",0,7,2,"22.2","9",7.6,"1.4"
"Fermin, Freddy","KC","2023","adj_xhr","23.3",1,8,4,"44.4","9",9.3,"-0.3"
"Pillar, Kevin","ATL","2023","adj_xhr","22.7",2,5,4,"44.4","9",8.1,"0.9"
"McKinstry, Zach","DET","2023","adj_xhr","21.9",12,7,2,"22.2","9",8.4,"0.6"
"Profar, Jurickson","SD","2023","adj_xhr","24.3",0,10,3,"33.3","9",8.5,"0.5"
"Wong, Connor","BOS","2023","adj_xhr","22.5",6,5,4,"44.4","9",8.7,"0.3"
"Biggio, Cavan","TOR","2023","adj_xhr","23.3",3,6,5,"55.6","9",9.2,"-0.2"
"Laureano, Ramón","CLE","2023","adj_xhr","25",6,9,5,"55.6","9",10.9,"-1.9"
"Pasquantino, Vinnie","KC","2023","adj_xhr","23.5",3,6,4,"44.4","9",8.5,"0.5"
"Hoerner, Nico","CHC","2023","adj_xhr","20.4",7,13,0,"0","9",8.6,"0.4"
"García Jr., Luis","WSH","2023","adj_xhr","22.9",5,7,3,"33.3","9",7.3,"1.7"
"Baty, Brett","NYM","2023","adj_xhr","22.6",5,4,5,"55.6","9",8.6,"0.4"
"Grandal, Yasmani","CWS","2023","adj_xhr","24",3,8,2,"25","8",8.4,"-0.4"
"Tauchman, Mike","CHC","2023","adj_xhr","22.8",1,8,3,"37.5","8",8.5,"-0.5"
"Walls, Taylor","TB","2023","adj_xhr","22.7",1,8,1,"12.5","8",6.7,"1.3"
"Larnach, Trevor","MIN","2023","adj_xhr","21.5",4,7,1,"12.5","8",7.4,"0.6"
"Waters, Drew","KC","2023","adj_xhr","23.7",3,10,5,"62.5","8",11.2,"-3.2"
"Maton, Nick","DET","2023","adj_xhr","22.4",3,5,3,"37.5","8",6.9,"1.1"
"Perdomo, Geraldo","AZ","2023","adj_xhr","24.3",4,7,1,"12.5","8",6.4,"1.6"
