"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"McCann, Kyle","OAK","2024","adj_xhr","23.2",3,2,2,"40","5",3.9,"1.1"
"Clemens, Kody","PHI","2024","adj_xhr","22.1",1,6,0,"0","5",5,"0.0"
"Hays, Austin","PHI","2024","adj_xhr","23.3",4,3,2,"40","5",4.5,"0.5"
"Bethancourt, Christian","CHC","2024","adj_xhr","25.4",3,5,2,"40","5",5.8,"-0.8"
"Calhoun, Willie","LAA","2024","adj_xhr","24.3",3,3,1,"20","5",3.6,"1.4"
"McCormick, Chas","HOU","2024","adj_xhr","23.1",2,4,2,"40","5",5.8,"-0.8"
"Encarnacion, Jerar","SF","2024","adj_xhr","27.4",3,3,2,"40","5",3.7,"1.3"
"Vargas, Miguel","CWS","2024","adj_xhr","23.1",2,5,1,"20","5",4.9,"0.1"
"Matos, Luis","SF","2024","adj_xhr","23.9",1,4,1,"20","5",4,"1.0"
"McCray, Grant","SF","2024","adj_xhr","22.5",2,2,4,"80","5",5.5,"-0.5"
"Biggio, Cavan","ATL","2024","adj_xhr","21.6",1,3,1,"20","5",2.5,"2.5"
"Carter, Evan","TEX","2024","adj_xhr","19.8",3,4,2,"40","5",5.2,"-0.2"
"Palacios, Richie","TB","2024","adj_xhr","25.7",3,2,2,"40","5",3.8,"1.2"
"Schneemann, Daniel","CLE","2024","adj_xhr","22.4",4,3,1,"20","5",2.3,"2.7"
"Rivera, Emmanuel","BAL","2024","adj_xhr","22.4",5,6,1,"20","5",5,"0.0"
"Holliday, Jackson","BAL","2024","adj_xhr","22.7",2,5,2,"40","5",5.8,"-0.8"
"Mateo, Jorge","BAL","2024","adj_xhr","25.2",2,6,2,"40","5",5.8,"-0.8"
"Walker, Jordan","STL","2024","adj_xhr","24.4",2,3,2,"40","5",4.9,"0.1"
"Herrera, Iván","STL","2024","adj_xhr","25.6",1,2,4,"80","5",4.9,"0.1"
"Kiermaier, Kevin","LAD","2024","adj_xhr","21.7",3,3,1,"20","5",4.3,"0.7"
"Hinds, Rece","CIN","2024","adj_xhr","25.3",0,1,4,"80","5",4.3,"0.7"
"Martini, Nick","CIN","2024","adj_xhr","21.5",2,3,2,"40","5",3.8,"1.2"
"Fraley, Jake","CIN","2024","adj_xhr","23.8",4,4,0,"0","5",3.6,"1.4"
"Haase, Eric","MIL","2024","adj_xhr","20.9",1,2,3,"60","5",4.3,"0.7"
"Kirk, Alejandro","TOR","2024","adj_xhr","25.9",7,5,3,"60","5",6.1,"-1.1"
"Kirilloff, Alex","MIN","2024","adj_xhr","21.5",7,3,2,"40","5",4.5,"0.5"
"Farmer, Kyle","MIN","2024","adj_xhr","24.2",5,4,2,"40","5",5.6,"-0.6"
"Taylor, Michael A.","PIT","2024","adj_xhr","21.9",5,3,3,"60","5",6,"-1.0"
"Robles, Victor","SEA","2024","adj_xhr","25.2",6,2,2,"50","4",4.1,"-0.1"
"Del Castillo, Adrian","AZ","2024","adj_xhr","22.7",1,4,1,"25","4",4,"0.0"
"Kjerstad, Heston","BAL","2024","adj_xhr","21.9",0,4,0,"0","4",2.7,"1.3"
"Hayes, Ke'Bryan","PIT","2024","adj_xhr","24.6",3,6,0,"0","4",4.3,"-0.3"
"Sweeney, Trey","DET","2024","adj_xhr","22.7",2,3,2,"50","4",4.3,"-0.3"
"Blanco, Dairon","KC","2024","adj_xhr","24.7",0,4,1,"25","4",3.6,"0.4"
"Frazier, Adam","KC","2024","adj_xhr","22.1",2,2,2,"50","4",4.1,"-0.1"
"Arraez, Luis","SD","2024","adj_xhr","22.7",5,6,0,"0","4",5.2,"-1.2"
"Wisely, Brett","SF","2024","adj_xhr","22",1,5,1,"25","4",5.1,"-1.1"
"Montero, Elehuris","COL","2024","adj_xhr","24.8",2,5,0,"0","4",3.9,"0.1"
"Flores, Wilmer","SF","2024","adj_xhr","23.8",1,6,0,"0","4",4.3,"-0.3"
"Davis, J.D.","NYY","2024","adj_xhr","20.4",2,3,1,"25","4",3.9,"0.1"
"Acuña Jr., Ronald","ATL","2024","adj_xhr","25.5",2,5,2,"50","4",5.3,"-1.3"
"Merrifield, Whit","ATL","2024","adj_xhr","23.2",3,3,0,"0","4",3,"1.0"
"Dubón, Mauricio","HOU","2024","adj_xhr","27.3",4,5,0,"0","4",3.5,"0.5"
"Urías, Luis","SEA","2024","adj_xhr","24.8",2,2,2,"50","4",3.7,"0.3"
"Drury, Brandon","LAA","2024","adj_xhr","22.8",1,3,2,"50","4",4.6,"-0.6"
"Kavadas, Niko","LAA","2024","adj_xhr","20.7",0,5,1,"25","4",4.1,"-0.1"
"Andujar, Miguel","OAK","2024","adj_xhr","24",2,4,1,"25","4",4,"0.0"
"Margot, Manuel","MIN","2024","adj_xhr","21.3",5,2,2,"50","4",4,"0.0"
"Loperfido, Joey","TOR","2024","adj_xhr","22.2",3,4,2,"50","4",4.8,"-0.8"
"Bichette, Bo","TOR","2024","adj_xhr","25",3,3,2,"50","4",4.1,"-0.1"
"Jiménez, Leo","TOR","2024","adj_xhr","21.2",4,3,1,"25","4",3.2,"0.8"
"Marte, Noelvi","CIN","2024","adj_xhr","26.9",1,3,1,"25","4",2.5,"1.5"
"Carpenter, Matt","STL","2024","adj_xhr","23.2",2,4,2,"50","4",4.7,"-0.7"
"Nido, Tomás","CHC","2024","adj_xhr","21.5",6,6,1,"25","4",5,"-1.0"
"Chaparro, Andrés","WSH","2024","adj_xhr","26.1",3,4,2,"50","4",4.8,"-0.8"
"Baty, Brett","NYM","2024","adj_xhr","26",1,1,3,"75","4",3.9,"0.1"
"Iglesias, Jose","NYM","2024","adj_xhr","20.6",2,4,0,"0","4",3.4,"0.6"
"Maldonado, Martín","CWS","2024","adj_xhr","25.1",3,2,2,"50","4",3.4,"0.6"
"Taylor, Chris","LAD","2024","adj_xhr","22.6",1,6,2,"50","4",6.1,"-2.1"
"Outman, James","LAD","2024","adj_xhr","22.1",2,4,1,"25","4",4.3,"-0.3"
"Fortes, Nick","MIA","2024","adj_xhr","23.9",1,4,1,"25","4",4.6,"-0.6"
"Acuña, Luisangel","NYM","2024","adj_xhr","25.1",0,2,1,"33.3","3",2.9,"0.1"
"Mendick, Danny","CWS","2024","adj_xhr","23",0,2,2,"66.7","3",3.3,"-0.3"
"Meneses, Joey","WSH","2024","adj_xhr","26",2,2,1,"33.3","3",2.3,"0.7"
"Myers, Dane","MIA","2024","adj_xhr","26.3",1,5,0,"0","3",3.8,"-0.8"
"Ramos, Bryan","CWS","2024","adj_xhr","22",0,4,1,"33.3","3",3.3,"-0.3"
"Jackson, Alex","TB","2024","adj_xhr","22.1",2,2,1,"33.3","3",2.7,"0.3"
"Crews, Dylan","WSH","2024","adj_xhr","20.2",2,2,2,"66.7","3",3.9,"-0.9"
"Alexander, Blaze","AZ","2024","adj_xhr","22.3",0,5,0,"0","3",2.5,"0.5"
"Thomas, Alek","AZ","2024","adj_xhr","24.7",2,0,2,"66.7","3",2.2,"0.8"
"Stowers, Kyle","MIA","2024","adj_xhr","22.6",2,2,1,"33.3","3",3.2,"-0.2"
"Lee, Brooks","MIN","2024","adj_xhr","22",3,6,0,"0","3",4.7,"-1.7"
"Florial, Estevan","CLE","2024","adj_xhr","22.6",1,2,1,"33.3","3",2.4,"0.6"
"Cook, Billy","PIT","2024","adj_xhr","23.1",0,3,2,"66.7","3",3.7,"-0.7"
"Jones, Nolan","COL","2024","adj_xhr","22",3,3,2,"66.7","3",4.4,"-1.4"
"Beck, Jordan","COL","2024","adj_xhr","23.1",3,2,1,"33.3","3",3,"0.0"
"Grossman, Robbie","KC","2024","adj_xhr","21.6",0,1,2,"66.7","3",2.9,"0.1"
"McGuire, Reese","BOS","2024","adj_xhr","23.4",1,5,0,"0","3",4.6,"-1.6"
"Frelick, Sal","MIL","2024","adj_xhr","23.3",6,2,1,"33.3","3",2.9,"0.1"
"Arias, Gabriel","CLE","2024","adj_xhr","23.9",3,3,1,"33.3","3",3.2,"-0.2"
"Harris, Brett","OAK","2024","adj_xhr","23.3",1,1,2,"66.7","3",3.1,"-0.1"
"Tena, José","WSH","2024","adj_xhr","25",3,3,1,"33.3","3",3,"0.0"
"Rosario, Amed","CIN","2024","adj_xhr","23.3",0,5,1,"33.3","3",4.2,"-1.2"
"Young, Jacob","WSH","2024","adj_xhr","21.9",1,2,1,"33.3","3",3,"0.0"
"Martínez, Angel","CLE","2024","adj_xhr","24.9",1,3,1,"33.3","3",3,"0.0"
"Duran, Ezequiel","TEX","2024","adj_xhr","25.3",1,3,0,"0","3",2.9,"0.1"
"Call, Alex","WSH","2024","adj_xhr","25.7",1,3,1,"33.3","3",2.7,"0.3"
"Dahl, David","PHI","2024","adj_xhr","20.9",2,1,1,"33.3","3",1.5,"1.5"
"Conine, Griffin","MIA","2024","adj_xhr","23.9",4,2,0,"0","3",1.7,"1.3"
"Carlson, Dylan","TB","2024","adj_xhr","23.4",2,3,0,"0","3",2.4,"0.6"
"Wilson, Weston","PHI","2024","adj_xhr","21.9",1,3,0,"0","3",2.3,"0.7"
"Torrens, Luis","NYM","2024","adj_xhr","24.9",2,3,0,"0","3",2.5,"0.5"
"Rojas, Johan","PHI","2024","adj_xhr","24.4",5,4,0,"0","3",2.7,"0.3"
"Perdomo, Geraldo","AZ","2024","adj_xhr","23.9",7,0,2,"66.7","3",2.7,"0.3"
"Rortvedt, Ben","TB","2024","adj_xhr","24.2",0,4,0,"0","3",2.7,"0.3"
"Rosario, Eguy","SD","2024","adj_xhr","24.6",3,0,2,"66.7","3",2.3,"0.7"
"Julks, Corey","CWS","2024","adj_xhr","21.8",1,1,2,"66.7","3",2.7,"0.3"
"Marchán, Rafael","PHI","2024","adj_xhr","23.3",1,1,2,"66.7","3",2.6,"0.4"
"Newman, Kevin","AZ","2024","adj_xhr","23",0,2,2,"66.7","3",3.7,"-0.7"
"Encarnacion-Strand, Christian","CIN","2024","adj_xhr","23",1,1,2,"100","2",2.4,"-0.4"
"Ruiz, Esteury","OAK","2024","adj_xhr","22",0,1,2,"100","2",2.5,"-0.5"
"Baddoo, Akil","DET","2024","adj_xhr","21.3",2,3,0,"0","2",2.9,"-0.9"
"García, Avisaíl","MIA","2024","adj_xhr","24.5",0,1,1,"50","2",2,"0.0"
"Ahmed, Nick","SD","2024","adj_xhr","20.4",3,3,0,"0","2",1.9,"0.1"
"Bruján, Vidal","MIA","2024","adj_xhr","21.7",1,2,0,"0","2",1.8,"0.2"
"Adams, Riley","WSH","2024","adj_xhr","21.3",2,2,1,"50","2",1.9,"0.1"
"Bryant, Kris","COL","2024","adj_xhr","22.7",3,1,1,"50","2",1.7,"0.3"
"Yorke, Nick","PIT","2024","adj_xhr","25",0,1,2,"100","2",2.5,"-0.5"
"Wagner, Will","TOR","2024","adj_xhr","23.1",0,1,1,"50","2",1.5,"0.5"
"LeMahieu, DJ","NYY","2024","adj_xhr","21.3",4,2,0,"0","2",1.3,"0.7"
"Domínguez, Jasson","NYY","2024","adj_xhr","24.5",0,1,1,"50","2",1.8,"0.2"
"Palacios, Joshua","PIT","2024","adj_xhr","24.2",0,0,2,"100","2",2,"0.0"
"Abreu, José","HOU","2024","adj_xhr","25.7",0,2,0,"0","2",1.2,"0.8"
"Slater, Austin","BAL","2024","adj_xhr","22.2",2,2,0,"0","2",1.7,"0.3"
"Maile, Luke","CIN","2024","adj_xhr","23",1,3,0,"0","2",1.9,"0.1"
"Scott II, Victor","STL","2024","adj_xhr","23.7",0,1,1,"50","2",2,"0.0"
"Siani, Michael","STL","2024","adj_xhr","21.8",2,2,1,"50","2",2.5,"-0.5"
"Baker, Luken","STL","2024","adj_xhr","21.9",2,3,0,"0","2",2.5,"-0.5"
"Dezenzo, Zach","HOU","2024","adj_xhr","22.5",1,0,2,"100","2",2,"0.0"
"Story, Trevor","BOS","2024","adj_xhr","23",1,2,0,"0","2",1.4,"0.6"
"Thaiss, Matt","LAA","2024","adj_xhr","24.7",3,4,1,"50","2",3.6,"-1.6"
"Ramírez, Harold","WSH","2024","adj_xhr","23.9",2,4,0,"0","2",3,"-1.0"
"Schunk, Aaron","COL","2024","adj_xhr","22",1,0,1,"50","2",1.2,"0.8"
"Gomes, Yan","CHC","2024","adj_xhr","22.9",2,2,1,"50","2",2.7,"-0.7"
"Baldwin, Brooks","CWS","2024","adj_xhr","21.7",1,3,0,"0","2",2.1,"-0.1"
"Pinto, René","TB","2024","adj_xhr","28.9",1,1,1,"50","2",2,"0.0"
"Bliss, Ryan","SEA","2024","adj_xhr","22.5",1,0,2,"100","2",2.2,"-0.2"
"Leblanc, Charles","LAA","2024","adj_xhr","22.9",1,2,0,"0","2",0.8,"1.2"
"Hedges, Austin","CLE","2024","adj_xhr","23.2",0,3,0,"0","2",2.2,"-0.2"
"Locklear, Tyler","SEA","2024","adj_xhr","21.3",0,1,1,"50","2",1.6,"0.4"
"Westbrook, Jamie","BOS","2024","adj_xhr","21.9",1,2,0,"0","2",1.7,"0.3"
"McKenna, Ryan","SF","2024","adj_xhr","20.3",1,1,0,"0","2",0.5,"1.5"
"Sanó, Miguel","LAA","2024","adj_xhr","24.6",1,2,0,"0","2",1.4,"0.6"
"Lee, Jung Hoo","SF","2024","adj_xhr","19.4",1,4,1,"50","2",4.1,"-2.1"
"Wagaman, Eric","LAA","2024","adj_xhr","22",2,0,1,"50","2",1.2,"0.8"
"Pauley, Graham","SD","2024","adj_xhr","25.5",1,2,0,"0","2",1.4,"0.6"
"Casali, Curt","SF","2024","adj_xhr","20.9",2,1,0,"0","1",1.1,"-0.1"
"Dalbec, Bobby","BOS","2024","adj_xhr","19.6",1,1,0,"0","1",0.9,"0.1"
"Vargas, Ildemaro","WSH","2024","adj_xhr","28.6",2,2,1,"100","1",2.2,"-1.2"
"Jones, Greg","COL","2024","adj_xhr","22.6",0,0,1,"100","1",1,"0.0"
"Bouchard, Sean","COL","2024","adj_xhr","22.6",2,0,1,"100","1",1.2,"-0.2"
"Reetz, Jakson","SF","2024","adj_xhr","24.6",0,1,0,"0","1",1,"0.0"
"Villar, David","SF","2024","adj_xhr","25.6",0,0,1,"100","1",1,"0.0"
"Murphy, Tom","SF","2024","adj_xhr","25",0,0,1,"100","1",1,"0.0"
"Canario, Alexander","CHC","2024","adj_xhr","25.5",0,0,1,"100","1",1,"0.0"
"Peraza, Oswald","NYY","2024","adj_xhr","22.7",0,0,1,"100","1",1,"0.0"
"Jones, Jahmai","NYY","2024","adj_xhr","19.6",0,2,0,"0","1",1.5,"-0.5"
"White, Eli","ATL","2024","adj_xhr","20.2",2,1,0,"0","1",1.1,"-0.1"
"Edwards, Xavier","MIA","2024","adj_xhr","23.5",1,1,0,"0","1",1,"0.0"
"Cabbage, Trey","HOU","2024","adj_xhr","24",0,2,0,"0","1",1.3,"-0.3"
"Gamel, Ben","HOU","2024","adj_xhr","22.4",3,0,0,"0","1",0.2,"0.8"
"Berti, Jon","NYY","2024","adj_xhr","19.8",1,0,0,"0","1",0.1,"0.9"
"Shewmake, Braden","CWS","2024","adj_xhr","20.5",1,1,0,"0","1",1,"0.0"
"Hicks, Aaron","LAA","2024","adj_xhr","22.8",2,1,0,"0","1",1.3,"-0.3"
"Adrianza, Ehire","LAA","2024","adj_xhr","22.3",2,1,0,"0","1",0.8,"0.2"
"Zavala, Seby","SEA","2024","adj_xhr","24.3",2,2,0,"0","1",1.4,"-0.4"
"DeLoach, Zach","CWS","2024","adj_xhr","22.4",1,0,1,"100","1",1,"0.0"
"Kreidler, Ryan","DET","2024","adj_xhr","22.6",0,1,0,"0","1",1,"0.0"
"Vilade, Ryan","DET","2024","adj_xhr","20.9",0,1,0,"0","1",1,"0.0"
"Kennedy, Buddy","PHI","2024","adj_xhr","24.2",0,1,0,"0","1",1,"0.0"
"Stubbs, Garrett","PHI","2024","adj_xhr","23.1",0,1,0,"0","1",1,"0.0"
"Dingler, Dillon","DET","2024","adj_xhr","22.7",0,2,0,"0","1",1.5,"-0.5"
"López, Jack","LAA","2024","adj_xhr","21.7",0,1,0,"0","1",0.6,"0.4"
"Paris, Kyren","LAA","2024","adj_xhr","24.8",0,0,1,"100","1",1,"0.0"
"Adams, Jordyn","LAA","2024","adj_xhr","21.7",0,0,1,"100","1",1,"0.0"
"Campero, Gustavo","LAA","2024","adj_xhr","27.3",1,0,0,"0","1",0,"1.0"
"Martin, Austin","MIN","2024","adj_xhr","22.7",2,1,0,"0","1",0.9,"0.1"
"Davis, Henry","PIT","2024","adj_xhr","21.8",1,2,0,"0","1",1.7,"-0.7"
"Madris, Bligh","DET","2024","adj_xhr","19.9",1,0,1,"100","1",1.1,"-0.1"
"Noda, Ryan","OAK","2024","adj_xhr","24",1,1,0,"0","1",0.8,"0.2"
"Hernaiz, Darell","OAK","2024","adj_xhr","22.3",1,2,0,"0","1",1.1,"-0.1"
"Lopez, Nicky","CWS","2024","adj_xhr","19.9",2,1,0,"0","1",0.8,"0.2"
"Allen, Nick","OAK","2024","adj_xhr","20.7",0,1,0,"0","1",0.9,"0.1"
"Fletcher, Dominic","CWS","2024","adj_xhr","22.7",1,0,1,"100","1",1.1,"-0.1"
"Keirsey Jr., DaShawn","MIN","2024","adj_xhr","23.8",1,0,0,"0","1",0,"1.0"
"Dunn, Blake","CIN","2024","adj_xhr","20.3",0,1,0,"0","1",0.9,"0.1"
"Vogelbach, Daniel","TOR","2024","adj_xhr","27.3",1,3,0,"0","1",2.3,"-1.3"
"Clase, Jonatan","TOR","2024","adj_xhr","23.7",0,1,0,"0","1",0.7,"0.3"
"Barnes, Austin","LAD","2024","adj_xhr","24.7",1,1,0,"0","1",1.1,"-0.1"
"Dunn, Oliver","MIL","2024","adj_xhr","22.6",1,0,1,"100","1",1.1,"-0.1"
"Lukes, Nathan","TOR","2024","adj_xhr","20.9",1,1,0,"0","1",0.8,"0.2"
"Monasterio, Andruw","MIL","2024","adj_xhr","22.2",2,2,0,"0","1",1.3,"-0.3"
"Ford, Mike","CIN","2024","adj_xhr","22.2",1,0,1,"100","1",1.2,"-0.2"
"Saggese, Thomas","STL","2024","adj_xhr","22.3",0,0,1,"100","1",1,"0.0"
"Crawford, Brandon","STL","2024","adj_xhr","23.2",0,1,0,"0","1",1,"0.0"
"Mead, Curtis","TB","2024","adj_xhr","24.4",1,1,0,"0","1",0.9,"0.1"
"Herrera, Jose","AZ","2024","adj_xhr","23.8",0,2,0,"0","1",1.2,"-0.2"
"Walls, Taylor","TB","2024","adj_xhr","22.3",2,2,1,"100","1",2.1,"-1.1"
"Pache, Cristian","MIA","2024","adj_xhr","24.1",3,0,1,"100","1",1.3,"-0.3"
"Hensley, David","MIA","2024","adj_xhr","22.3",0,1,0,"0","1",0.8,"0.2"
"Driscoll, Logan","TB","2024","adj_xhr","26.1",0,0,1,"100","1",1,"0.0"
"Shenton, Austin","TB","2024","adj_xhr","21.1",0,1,0,"0","1",0.5,"0.5"
"Lipscomb, Trey","WSH","2024","adj_xhr","23.5",2,1,0,"0","1",0.5,"0.5"
"Millas, Drew","WSH","2024","adj_xhr","21.4",0,1,0,"0","1",0.6,"0.4"
"Garrett, Stone","WSH","2024","adj_xhr","22.8",1,0,1,"100","1",1.2,"-0.2"
"Knizner, Andrew","TEX","2024","adj_xhr","21.6",1,1,1,"100","1",1.9,"-0.9"
"Loftin, Nick","KC","2024","adj_xhr","21.4",1,1,0,"0","1",0.5,"0.5"
"Wendzel, Davis","TEX","2024","adj_xhr","21.6",0,2,1,"100","1",2.7,"-1.7"
"Harris, Dustin","TEX","2024","adj_xhr","21.3",1,0,0,"0","1",0.1,"0.9"
"Jankowski, Travis","TEX","2024","adj_xhr","20.8",1,0,1,"100","1",1.1,"-0.1"
"Walsh, Jared","TEX","2024","adj_xhr","22.9",2,0,1,"100","1",1.4,"-0.4"
"Sullivan, Brett","SD","2024","adj_xhr","21.5",0,2,0,"0","1",1.6,"-0.6"
"Cooper, Garrett","BOS","2024","adj_xhr","20.6",1,3,0,"0","1",2.7,"-1.7"
"Lockridge, Brandon","SD","2024","adj_xhr","21.8",0,1,0,"0","1",1,"0.0"
"Walton, Donovan","SF","2024","adj_xhr","20.4",0,1,0,"0","1",0.8,"0.2"
"Gurriel, Yuli","KC","2024","adj_xhr",,0,2,0,,"0",0.9,"-0.9"
"Grissom, Vaughn","BOS","2024","adj_xhr",,2,0,0,,"0",0.3,"-0.3"
"Rivas, Leo","SEA","2024","adj_xhr",,2,0,0,,"0",0.3,"-0.3"
"Nuñez, Nasim","WSH","2024","adj_xhr",,1,0,0,,"0",0,"0.0"
"McKinney, Billy","PIT","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Williams, Alika","PIT","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Whitcomb, Shay","HOU","2024","adj_xhr",,0,2,0,,"0",1.2,"-1.2"
"Sabol, Blake","SF","2024","adj_xhr",,1,1,0,,"0",1,"-1.0"
"Salazar, César","HOU","2024","adj_xhr",,2,0,0,,"0",0.1,"-0.1"
"Kessinger, Grae","HOU","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Sánchez, Ali","MIA","2024","adj_xhr",,0,1,0,,"0",0.4,"-0.4"
"Blankenhorn, Travis","WSH","2024","adj_xhr",,0,1,0,,"0",0.3,"-0.3"
"Romo, Drew","COL","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Luciano, Marco","SF","2024","adj_xhr",,2,1,0,,"0",0.6,"-0.6"
"Díaz, Aledmys","HOU","2024","adj_xhr",,1,0,0,,"0",0.2,"-0.2"
"Narváez, Omar","NYM","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Trejo, Alan","COL","2024","adj_xhr",,1,1,0,,"0",0.3,"-0.3"
"Alexander, CJ","KC","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Sogard, Nick","BOS","2024","adj_xhr",,0,1,0,,"0",0.9,"-0.9"
"Bae, Ji Hwan","PIT","2024","adj_xhr",,2,0,0,,"0",0.4,"-0.4"
"Ornelas, Jonathan","TEX","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Wade, Tyler","SD","2024","adj_xhr",,0,2,0,,"0",0.6,"-0.6"
"Hurtubise, Jacob","CIN","2024","adj_xhr",,0,1,0,,"0",1,"-1.0"
"Foscue, Justin","TEX","2024","adj_xhr",,0,1,0,,"0",0.3,"-0.3"
"Heineman, Tyler","TOR","2024","adj_xhr",,1,0,0,,"0",0.2,"-0.2"
"Hampson, Garrett","KC","2024","adj_xhr",,4,1,0,,"0",1.2,"-1.2"
"Reyes, Pablo","BOS","2024","adj_xhr",,1,0,0,,"0",0,"0.0"
"Serven, Brian","TOR","2024","adj_xhr",,3,0,0,,"0",0.2,"-0.2"
"De Los Santos, Luis","TOR","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Guillorme, Luis","AZ","2024","adj_xhr",,2,1,0,,"0",0.7,"-0.7"
"Mastrobuoni, Miles","CHC","2024","adj_xhr",,2,0,0,,"0",0.1,"-0.1"
"Mervis, Matt","CHC","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Berroa, Steward","TOR","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Remillard, Zach","CWS","2024","adj_xhr",,0,1,0,,"0",0.4,"-0.4"
"Jung, Jace","DET","2024","adj_xhr",,2,1,0,,"0",0.4,"-0.4"
"Waters, Drew","KC","2024","adj_xhr",,0,1,0,,"0",0.7,"-0.7"
"Rendon, Anthony","LAA","2024","adj_xhr",,4,1,0,,"0",1,"-1.0"
"Moncada, Yoán","CWS","2024","adj_xhr",,1,0,0,,"0",0.2,"-0.2"
"Azocar, José","SD","2024","adj_xhr",,2,0,0,,"0",0.2,"-0.2"
"Anderson, Tim","MIA","2024","adj_xhr",,0,1,0,,"0",0.3,"-0.3"
"Stefanic, Michael","LAA","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
"Tucker, Cole","LAA","2024","adj_xhr",,1,0,0,,"0",0.1,"-0.1"
