"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"Yelich, Christian","592885","2024","0.910",".021",".033",".018"
"Merrifield, Whit","593160","2024","0.625","-0.020","-0.003","-0.012"
"Bogaerts, Xander","593428","2024","0.688",".002","-0.001","-0.005"
"Polanco, Jorge","593871","2024","0.653","-0.012","-0.043","-0.021"
"Duvall, Adam","594807","2024","0.568","-0.015","-0.064","-0.031"
"Profar, Jurickson","595777","2024","0.839","-0.002",".015",".001"
"Cave, Jake","595909","2024","0.686",".018",".039",".018"
"Lindor, Francisco","596019","2024","0.844","-0.010","-0.028","-0.016"
"Kepler, Max","596146","2024","0.682",".006","-0.001","-0.003"
"Candelario, Jeimer","600869","2024","0.708",".004",".065",".024"
"Urías, Ramón","602104","2024","0.745",".006","-0.006","-0.003"
"Bell, Josh","605137","2024","0.724",".010",".009",".007"
"Betts, Mookie","605141","2024","0.863",".007",".044",".015"
"Arcia, Orlando","606115","2024","0.625",".012",".031",".012"
"Hernández, Teoscar","606192","2024","0.840",".022",".015",".014"
"Marte, Ketel","606466","2024","0.932","-0.002",".022","-0.001"
"Nimmo, Brandon","607043","2024","0.726","-0.020","-0.009","-0.014"
"Turner, Trea","607208","2024","0.807",".031",".050",".031"
"Pillar, Kevin","607680","2024","0.668",".008",".048",".018"
"Ramírez, José","608070","2024","0.872",".020",".084",".035"
"Bregman, Alex","608324","2024","0.768",".003",".036",".012"
"Kelly, Carson","608348","2024","0.687",".003","-0.027","-0.010"
"Seager, Corey","608369","2024","0.865","-0.011","-0.049","-0.025"
"Winker, Jesse","608385","2024","0.765",".008",".021",".009"
"Refsnyder, Rob","608701","2024","0.830",".031",".059",".032"
"Meneses, Joey","608841","2024","0.593",".008","-0.024","-0.011"
"Andujar, Miguel","609280","2024","0.697",".020",".034",".020"
"Swanson, Dansby","621020","2024","0.702","-0.002","-0.026","-0.014"
"Newman, Kevin","621028","2024","0.686",".022",".052",".027"
"Correa, Carlos","621043","2024","0.905",".032",".062",".027"
"Taylor, Tyrone","621438","2024","0.700","-0.001",".012",".003"
"Buxton, Byron","621439","2024","0.859",".015",".022",".013"
"Ward, Taylor","621493","2024","0.749","-0.005","-0.032","-0.019"
"Olson, Matt","621566","2024","0.790",".000",".009","-0.002"
"Margot, Manuel","622534","2024","0.626","-0.023","-0.042","-0.032"
"Santander, Anthony","623993","2024","0.814",".007",".061",".021"
"Alonso, Pete","624413","2024","0.788","-0.002","-0.002","-0.003"
"Conforto, Michael","624424","2024","0.759","-0.020","-0.029","-0.023"
"Soler, Jorge","624585","2024","0.780","-0.003","-0.005","-0.006"
"Cronenworth, Jake","630105","2024","0.714","-0.018","-0.030","-0.020"
"Bauers, Jake","641343","2024","0.662","-0.002","-0.018","-0.008"
"Bellinger, Cody","641355","2024","0.751",".024",".035",".021"
"Crawford, J.P.","641487","2024","0.625","-0.025","-0.042","-0.026"
"Fraley, Jake","641584","2024","0.716",".032",".063",".029"
"Garver, Mitch","641598","2024","0.627","-0.008",".006","-0.004"
"Heim, Jonah","641680","2024","0.603","-0.008","-0.020","-0.012"
"McMahon, Ryan","641857","2024","0.722","-0.001","-0.017","-0.010"
"O'Neill, Tyler","641933","2024","0.847",".028",".031",".021"
"Smith, Dominic","642086","2024","0.691",".014","-0.005",".004"
"Tellez, Rowdy","642133","2024","0.691",".006","-0.002","-0.001"
"Siri, Jose","642350","2024","0.621","-0.013","-0.043","-0.026"
"Rosario, Amed","642708","2024","0.686",".030",".021",".019"
"Adames, Willy","642715","2024","0.793",".008",".001",".003"
"Estrada, Thairo","642731","2024","0.590","-0.009",".005","-0.007"
"Benintendi, Andrew","643217","2024","0.685","-0.014",".007","-0.005"
"Dubón, Mauricio","643289","2024","0.657",".021",".031",".014"
"Jansen, Danny","643376","2024","0.658",".004",".017",".005"
"Kiner-Falefa, Isiah","643396","2024","0.682",".018",".030",".016"
"McNeil, Jeff","643446","2024","0.692",".003",".048",".016"
"Tauchman, Mike","643565","2024","0.723",".006","-0.014","-0.005"
"Albies, Ozzie","645277","2024","0.707",".005",".017",".005"
"Devers, Rafael","646240","2024","0.870",".000",".007",".000"
"Naylor, Josh","647304","2024","0.776","-0.014",".013","-0.003"
"Toro, Abraham","647351","2024","0.643","-0.005","-0.015","-0.008"
"Arraez, Luis","650333","2024","0.738",".004","-0.008","-0.002"
"Jiménez, Eloy","650391","2024","0.625","-0.010","-0.046","-0.024"
"Torres, Gleyber","650402","2024","0.708",".017",".010",".006"
"Castro, Willi","650489","2024","0.716",".003",".004","-0.003"
"Díaz, Yandy","650490","2024","0.755",".004","-0.009","-0.005"
"De La Cruz, Bryan","650559","2024","0.655","-0.009","-0.035","-0.019"
"Rengifo, Luis","650859","2024","0.764",".038",".065",".040"
"Chapman, Matt","656305","2024","0.791","-0.003",".012","-0.001"
"Hoskins, Rhys","656555","2024","0.722",".012",".032",".012"
"Joe, Connor","656582","2024","0.688",".022",".060",".028"
